name,group,calorie,carbohydrate,protein,lipid,salt
＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　生　　,2,133,31.7,1.2,0.3,0.1
＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　蒸し　　,2,132,31.4,1.2,0.3,0.1
＜いも類＞（さといも類）　さといも　球茎　生　　,2,58,13.1,1.5,0.1,0
＜いも類＞（さといも類）　さといも　球茎　水煮　　,2,59,13.4,1.5,0.1,0
＜いも類＞（さといも類）　さといも　球茎　冷凍　　,2,72,16.1,2.2,0.1,0
＜いも類＞（さといも類）　セレベス　球茎　生　　,2,89,19.8,2.2,0.3,0
＜いも類＞（さといも類）　セレベス　球茎　水煮　　,2,85,19.1,2.1,0.3,0
＜いも類＞（さといも類）　たけのこいも　球茎　生　　,2,103,23.5,1.7,0.4,0
＜いも類＞（さといも類）　たけのこいも　球茎　水煮　　,2,96,21.8,1.6,0.4,0
＜いも類＞（さといも類）　みずいも　球茎　生　　,2,117,27.6,0.7,0.4,0
＜いも類＞（さといも類）　みずいも　球茎　水煮　　,2,110,26.1,0.7,0.4,0
＜いも類＞（さといも類）　やつがしら　球茎　生　　,2,97,20.5,3,0.7,0
＜いも類＞（さといも類）　やつがしら　球茎　水煮　　,2,93,20,2.7,0.6,0
＜いも類＞じゃがいも　塊茎　生　　　,2,76,17.6,1.6,0.1,0
＜いも類＞じゃがいも　塊茎　蒸し　　　,2,84,19.7,1.5,0.1,0
＜いも類＞じゃがいも　塊茎　水煮　　　,2,73,16.8,1.5,0.1,0
＜いも類＞じゃがいも　フライドポテト　　　,2,237,32.4,2.9,10.6,0
＜いも類＞じゃがいも　乾燥マッシュポテト　　　,2,357,82.8,6.6,0.6,0.2
＜いも類＞ヤーコン　塊根　生　　　,2,54,12.4,0.6,0.3,0
＜いも類＞ヤーコン　塊根　水煮　　　,2,44,9.9,0.6,0.3,0
＜いも類＞（やまのいも類）　ながいも　いちょういも　塊根　生　,2,108,22.6,4.5,0.5,0
＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　生　,2,65,13.9,2.2,0.3,0
＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　水煮　,2,59,12.6,2,0.3,0
＜いも類＞（やまのいも類）　ながいも　やまといも　塊根　生　,2,123,27.1,4.5,0.2,0
＜いも類＞（やまのいも類）　じねんじょ　塊根　生　　,2,121,26.7,2.8,0.7,0
＜いも類＞（やまのいも類）　だいじょ　塊根　生　　,2,109,25,2.6,0.1,0.1
＜でん粉・でん粉製品＞（でん粉類）　キャッサバでん粉　　　,2,346,85.3,0.1,0.2,0
＜でん粉・でん粉製品＞（でん粉類）　くずでん粉　　　,2,347,85.6,0.2,0.2,0
＜でん粉・でん粉製品＞（でん粉類）　米でん粉　　　,2,366,89.3,0.2,0.7,0
＜でん粉・でん粉製品＞（でん粉類）　小麦でん粉　　　,2,351,86,0.2,0.5,0
＜でん粉・でん粉製品＞（でん粉類）　サゴでん粉　　　,2,349,86.1,0.1,0.2,0
＜でん粉・でん粉製品＞（でん粉類）　さつまいもでん粉　　　,2,332,82,0.1,0.2,0
＜でん粉・でん粉製品＞（でん粉類）　じゃがいもでん粉　　　,2,330,81.6,0.1,0.1,0
＜でん粉・でん粉製品＞（でん粉類）　とうもろこしでん粉　　　,2,354,86.3,0.1,0.7,0
＜でん粉・でん粉製品＞（でん粉製品）　くずきり　乾　　,2,356,87.7,0.2,0.2,0
＜でん粉・でん粉製品＞（でん粉製品）　くずきり　ゆで　　,2,135,33.3,0.1,0.1,0
＜でん粉・でん粉製品＞（でん粉製品）　ごま豆腐　　　,2,81,9.1,1.5,4.3,0
＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　乾　　,2,355,87.8,0,0.2,0
＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　ゆで　　,2,62,15.4,0,0,0
＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　生　　,2,131,32.2,0.1,0.2,0
＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　　,2,353,86.7,0.2,0.3,0.1
＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　ゆで　　,2,84,20.6,0,0.2,0
＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　乾　,2,356,87.5,0.2,0.4,0
＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　ゆで　,2,84,20.6,0,0.1,0
＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　乾　,2,350,86.6,0,0.2,0
＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　ゆで　,2,80,19.9,0,0,0
（砂糖類）　黒砂糖　　　,3,354,89.7,1.7,0,0.1
（砂糖類）　和三盆糖　　　,3,383,98.8,0.2,0,0
（砂糖類）　車糖　上白糖　　,3,384,99.2,0,0,0
（砂糖類）　車糖　三温糖　　,3,382,98.7,0,0,0
（砂糖類）　ざらめ糖　グラニュー糖　　,3,387,100,0,0,0
（砂糖類）　ざらめ糖　白ざら糖　　,3,387,100,0,0,0
（砂糖類）　ざらめ糖　中ざら糖　　,3,387,100,0,0,0
（砂糖類）　加工糖　角砂糖　　,3,387,100,0,0,0
（砂糖類）　加工糖　氷砂糖　　,3,387,100,0,0,0
（砂糖類）　加工糖　コーヒーシュガー　　,3,387,99.9,0.1,0,0
（砂糖類）　加工糖　粉糖　　,3,386,99.7,0,0,0
（砂糖類）　液糖　しょ糖型液糖　　,3,271,70,0,0,0
